No,id,firstName,lastName,gender,dob,courseID,midTerm,lab,endTerm,final
1,SV0011,Hoang,Nguyen,M,01/02/2003,CSC10002,6,5,9,7.3
2,SV0012,Phuc,Ho,M,02/02/2003,CSC10002,7,4,8,6.9
3,SV0013,Kiet,Kim,M,03/02/2003,CSC10002,8,6,9,8.1
4,SV0014,Nguyen,Hoang,F,04/02/2003,CSC10002,6,8,7,6.9
5,SV0015,Khanh,Duong,M,05/02/2003,CSC10002,7,6,6,6.3
6,SV0016,Thai,Nguyen,M,06/02/2003,CSC10002,9,5,8,7.7
7,SV0017,Huy,Nguyen,M,07/02/2003,CSC10002,7,7,7,7
8,SV0018,Ngoc,Tran,F,08/02/2003,CSC10002,6,5,6,5.8
9,SV0019,Thu,Tran,F,09/02/2003,CSC10002,9,4,8,7.5
10,SV0020,Ly,Ho,F,10/02/2003,CSC10002,7,6,9,7.8
11,SV0021,Anh,Le,M,11/02/2003,CSC10002,9,7,7,7.6
12,SV0022,Thuc,Le,F,12/02/2003,CSC10002,8,5,5,5.9
13,SV0023,Dang,Ton,M,13/02/2003,CSC10002,7,4,7,6.4
14,SV0024,Nguyet,Nguyen,F,14/02/2003,CSC10002,9,6,9,8.4
15,SV0025,Ngoc,Tran,F,15/02/2003,CSC10002,7,7,5,6
