No,id,firstName,lastName,gender,dob,socialID
1,SV0045,Ha,Nguyen,F,09/09/2003,200090
2,SV0046,Thu,Le,F,10/09/2003,200091
3,SV0047,Huong,Nguyen,F,11/09/2003,200092
4,SV0048,Dung,Nguyen,M,12/09/2003,200093
5,SV0049,Jake,Nguyen,F,13/09/2003,200094
6,SV0050,Jim,Nguyen,M,14/09/2003,200095
7,SV0051,Tom,Nguyen,M,15/09/2003,200096
8,SV0052,Toma,Nguyen,M,16/09/2003,200097
9,SV0053,Suk,Nguyen,M,17/09/2003,200098
10,SV0054,Phuc,Nguyen,M,18/09/2003,200099
11,SV0055,Nguyen,Nguyen,M,19/09/2003,200100
12,SV0056,Hoang,Nguyen,M,20/09/2003,200101
13,SV0057,David,Nguyen,M,21/09/2003,200102
14,SV0058,Milo,Ho,M,22/09/2003,200103
15,SV0059,Mike,Le,M,23/09/2003,200104
