No,classId,id,firstName,lastName,gender,dob,noCredits,courseID,teacherName,dayOfTheWeek,session
1,21CLC01,SV0001,Han,Nguyen,F,01/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
2,21CLC01,SV0002,Dat,Nguyen,M,02/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
3,21CLC01,SV0003,Ngoc,Tran,F,03/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
4,21CLC01,SV0004,Chau,Hoang,F,04/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
5,21CLC01,SV0005,Huy,Le,M,05/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
6,21CLC01,SV0006,Hieu,Tran,M,06/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
7,21CLC01,SV0007,Nhan,Ho,M,07/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
8,21CLC01,SV0008,Phuc,Nguyen,M,08/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
9,21CLC01,SV0009,Hoang,Kim,M,09/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
10,21CLC01,SV0010,Kim,Duong,M,10/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
11,21CLC01,SV0011,Phat,Pham,M,11/12/2003,4,CSC10001,Dinh Ba Tien,1,1234
