No,id,firstName,lastName,gender,dob,socialID
1,SV0011,Hoang,Nguyen,M,01/02/2003,543553
2,SV0012,Phuc,Ho,M,02/02/2003,543554
3,SV0013,Kiet,Kim,M,03/02/2003,543555
4,SV0014,Nguyen,Hoang,F,04/02/2003,543556
5,SV0015,Khanh,Duong,M,05/02/2003,543557
6,SV0016,Thai,Nguyen,M,06/02/2003,543558
7,SV0017,Huy,Nguyen,M,07/02/2003,543559
8,SV0018,Ngoc,Tran,F,08/02/2003,543560
9,SV0019,Thu,Tran,F,09/02/2003,543561
10,SV0020,Ly,Ho,F,10/02/2003,543562
11,SV0021,Anh,Le,M,11/02/2003,543563
12,SV0022,Thuc,Le,F,12/02/2003,543564
13,SV0023,Dang,Ton,M,13/02/2003,543565
14,SV0024,Nguyet,Nguyen,F,14/02/2003,543566
15,SV0025,Ngoc,Tran,F,15/02/2003,543567
