No,classId,id,firstName,lastName,gender,dob,noCredits,courseID,teacherName,dayOfTheWeek,session
1,21CLC02,SV0011,Hoang,Nguyen,M,01/02/2003,4,CSC10002,Thai Hung Van,1,5678
2,21CLC02,SV0012,Phuc,Ho,M,02/02/2003,4,CSC10002,Thai Hung Van,1,5678
3,21CLC02,SV0013,Kiet,Kim,M,03/02/2003,4,CSC10002,Thai Hung Van,1,5678
4,21CLC02,SV0014,Nguyen,Hoang,F,04/02/2003,4,CSC10002,Thai Hung Van,1,5678
5,21CLC02,SV0015,Khanh,Duong,M,05/02/2003,4,CSC10002,Thai Hung Van,1,5678
6,21CLC02,SV0016,Thai,Nguyen,M,06/02/2003,4,CSC10002,Thai Hung Van,1,5678
7,21CLC02,SV0017,Huy,Nguyen,M,07/02/2003,4,CSC10002,Thai Hung Van,1,5678
8,21CLC02,SV0018,Ngoc,Tran,F,08/02/2003,4,CSC10002,Thai Hung Van,1,5678
9,21CLC02,SV0019,Thu,Tran,F,09/02/2003,4,CSC10002,Thai Hung Van,1,5678
10,21CLC02,SV0020,Ly,Ho,F,10/02/2003,4,CSC10002,Thai Hung Van,1,5678
11,21CLC02,SV0021,Anh,Le,M,11/02/2003,4,CSC10002,Thai Hung Van,1,5678
12,21CLC02,SV0022,Thuc,Le,F,12/02/2003,4,CSC10002,Thai Hung Van,1,5678
13,21CLC02,SV0023,Dang,Ton,M,13/02/2003,4,CSC10002,Thai Hung Van,1,5678
14,21CLC02,SV0024,Nguyet,Nguyen,F,14/02/2003,4,CSC10002,Thai Hung Van,1,5678
15,21CLC02,SV0025,Ngoc,Tran,F,15/02/2003,4,CSC10002,Thai Hung Van,1,5678
