No,classId,id,firstName,lastName,gender,dob,noCredits,courseID,teacherName,dayOfTheWeek,session,session
1,21CLC03,SV0029,Chau,Nguyen,F,01/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
2,21CLC03,SV0030,Kim,Ho,M,02/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
3,21CLC03,SV0031,Phat,Le,M,03/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
4,21CLC03,SV0032,Dat,Duong,M,04/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
5,21CLC03,SV0033,Tu,Quach,M,05/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
6,21CLC03,SV0034,Thanh,Hoang,M,06/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
7,21CLC03,SV0035,Hoang,Kim,M,07/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
8,21CLC03,SV0036,Nhu,Le,F,08/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
9,21CLC03,SV0037,Ngoc,Nguyen,F,09/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
10,21CLC03,SV0038,Hong,Nguyen,F,10/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
11,21CLC03,SV0039,Thuy,Ho,F,11/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
12,21CLC03,SV0040,Thanh,Nguyen,M,12/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
13,21CLC03,SV0041,Dung,Le,M,13/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
14,21CLC03,SV0042,Phuc,Tran,M,14/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
15,21CLC03,SV0043,Hung,Le,M,15/05/2003,4,CSC10001,Bui Huy Thong,1,2,34
